old_code,new_code
45.32.29,45.32.29
50.30.3,45.31.2
50.4,45.4
50.40,45.40
50.40.1,45.40.1
50.40.2,45.40.2
45.40.3,45.40.3
50.40.3,45.40.4
50.40.4,45.40.5
50.5,47.3
50.50,47.30
51,46
51.1,46.1
51.11,46.11
51.11.1,46.11.1
51.11.2,46.11.3
51.11.21,46.11.31
51.11.22,46.11.32
51.11.23,46.11.33
51.11.24,46.11.34
51.11.25,46.11.35
51.11.26,46.11.39
51.12,46.12
51.12.1,46.12.1
51.12.2,46.12.2
51.12.21,46.12.21
51.12.22,46.12.22
51.12.23,46.12.22
51.12.24,46.12.22
51.12.3,46.12.3
51.12.31,46.12.31
51.12.32,46.12.32
51.12.33,46.12.31
51.12.34,46.12.31
51.12.35,46.12.31
51.12.36,46.12.31
51.12.37,46.12.31
51.13,46.13
51.13.1,46.13.1
51.13.2,46.13.2
51.14,46.14
51.14.1,46.14.1
51.14.2,46.14.9
51.14.3,46.14.2
51.15,46.15
51.15.1,46.15.1
51.15.2,46.15.2
51.15.3,46.15.3
51.15.4,46.15.4
51.15.41,46.15.4
51.15.42,46.15.4
51.15.5,46.15.9
51.16,46.16
51.16.1,46.16.1
51.16.2,46.16.2
51.16.3,46.16.3
46.16.2,46.16.2
51.17,46.17
51.17.1,46.17.1
51.17.2,46.17.2
51.17.21,46.17.21
51.17.22,46.17.22
51.17.23,46.17.23
51.17.3,46.17.3
51.18,46.18
51.18.1,46.18.1
51.18.2,46.18.9
51.18.21,46.18.91
51.18.22,46.18.2
51.18.23,46.18.2
51.18.24,46.18.2
51.18.25,46.18.2
51.18.26,35.14
51.18.27,46.18.99
51.19,46.19
51.2,46.2
51.21,46.21
51.21.1,46.21.11
51.21.2,46.21.12
51.21.3,46.21.13
51.21.4,46.21.14
51.21.5,46.21.19
51.22,46.22
51.23,46.23
51.24,46.24
51.25,46.21.2
51.3,46.3
51.31,46.31
46.31.11,46.31.11
51.31.1,46.31.11
51.31.2,46.31.13
46.31.12,46.31.12
51.32,46.32
46.32.3,46.32.3
51.32.1,46.32.1
51.32.11,46.32.1
51.32.12,46.32.1
51.32.2,46.32.2
51.32.3,46.32.3
51.33,46.33
51.33.1,46.33.1
51.33.2,46.33.2
51.33.3,46.33.3
51.34,46.34
51.34.1,46.34.1
51.34.2,46.34.2
51.34.21,46.34.21
51.34.22,46.34.23
51.35,46.35
51.36,46.36
51.36.1,46.36.1
51.36.2,46.36.2
46.38.26,46.38.26
51.36.21,46.36.2
51.36.22,46.38.26
51.37,46.37
51.38,46.38
51.38.1,46.38.1
51.38.2,46.38.2
51.38.21,46.31.2
51.38.22,46.38.21
51.38.23,46.38.22
51.38.24,46.36.4
51.38.25,46.36.3
51.38.26,46.38.23
51.38.27,46.38.24
51.38.28,46.38.25
51.38.29,46.38.29
51.39,46.39
51.39.1,46.39.1
51.39.2,46.39.2
51.4,46.4
51.41,46.41
46.41.2,46.41.2
51.41.1,46.41.1
51.41.2,46.41.2
51.42,46.42
51.42.1,46.42.11
51.42.2,46.42.12
51.42.3,46.42.13
51.42.4,46.42.2
